10E000,0000,0000,00,000000,SUMMARY ACCOUNT OFFSET,,,-40.00,,4.34
10E000,0000,1230,00,000000,BLANK,,,245.00,,754.50
10E000,0000,1270,00,000000,BLANK,,,220.00,,
10E000,0000,2160,00,000000,BLANK,,,23.77,,61.32
10E000,0000,2170,00,000000,BLANK,,,15.52,,38.42
10E000,1100,1180,00,000000,SALARY ADJUSTMENT (SAVINGS),637500,,,,
10E000,1100,1185,00,000000,OUTSIDE BILLING-PAYROLL,,,-2382.14,,6995.64
10E000,1100,1260,00,000000,PERMANENT DIST SUBSTITUTES,300000,300000.00,178385.75,300000.00,235845.00
10E000,1100,1270,00,000000,BLANK,,,,,140.00
10E000,1100,1900,00,000000,ADJUSTMENT SALARIES (MOVEMENT),50000,45000.00,,45000.00,
10E000,1100,1910,00,000000,CLASS SIZE 9/30 ADJUSTMENT,100000,,,,
10E000,1100,2000,00,000000,PRIOR YEARS PAYROLL AND A/P AD,,,,,135.17
10E000,1100,2100,00,000000,FEDERAL TRS PROGRAM,,,24.23,,
10E000,1100,2111,00,000000,TRS - EXCESS SALARY INCR,50000,50000.00,45834.88,50000.00,8123.86
10E000,1100,2160,00,000000,DISTRICT BD SHARE THIS,,,1289.69,,2272.01
10E000,1100,2170,00,000000,EMPLOYER SHARE TRS .00637,,,825.00,,1408.13
10E000,1100,2250,00,000000,EMPLOYEE ASSISTANCE PROGRAM,12000,12000.00,11919.36,,15995.81
10E000,1100,3320,00,000000,INTERSCHOOL TRAVEL,3500,3500.00,751.70,3500.00,681.02
10E000,1100,4100,00,000000,SUPL/EQUIP. 9/30 ADJ,10000,10000.00,416.93,10000.00,
10E000,1100,4100,24,000000,MATERIALS & SUPPLIES,23000,23000.00,11952.41,23000.00,8364.23
10E000,1100,5400,00,000000,CAPITAL OUTLAY DISTRICT,15000,15000.00,10383.95,15000.00,7541.72
10E001,1110,1100,00,000000,ELEMENTARY TEACHERS LEAL,880000,880000.00,674240.49,862226.00,833026.82
10E003,1110,1100,00,000000,ELEMENTARY TEACHERS DR WILLIAM,825000,825000.00,787186.46,838325.00,882320.00
10E004,1110,1100,00,000000,ELEMENTARY TEACHERS WILEY,703500,703500.00,640716.71,714925.00,714762.84
10E007,1110,1100,00,000000,ELEMENTARY TEACHERS YANKEE RID,980600,980600.00,792653.85,928970.00,919915.59
